# Forecast file written by ForecastToConfComp.py
# time , forecast
#
04/02/14 00:00,1850
04/02/14 01:00,1855
04/02/14 02:00,1898
04/02/14 03:00,1924
04/02/14 04:00,1911
04/02/14 05:00,1875
04/02/14 06:00,1840
04/02/14 07:00,1794
04/02/14 08:00,1745
04/02/14 09:00,1739
04/02/14 10:00,1822
04/02/14 11:00,1915
04/02/14 12:00,1988
04/02/14 13:00,2040
04/02/14 14:00,2180
04/02/14 15:00,2369
04/02/14 16:00,2576
04/02/14 17:00,2697
04/02/14 18:00,2740
04/02/14 19:00,2754
04/02/14 20:00,2712
04/02/14 21:00,2575
04/02/14 22:00,2323
04/02/14 23:00,2026
04/03/14 00:00,1465
04/03/14 01:00,1186
04/03/14 02:00,938
04/03/14 03:00,754
04/03/14 04:00,632
04/03/14 05:00,528
04/03/14 06:00,422
04/03/14 07:00,318
04/03/14 08:00,263
04/03/14 09:00,171
04/03/14 10:00,153
04/03/14 11:00,156
04/03/14 12:00,181
04/03/14 13:00,217
04/03/14 14:00,263
04/03/14 15:00,336
04/03/14 16:00,427
04/03/14 17:00,511
04/03/14 18:00,618
04/03/14 19:00,746
04/03/14 20:00,834
04/03/14 21:00,871
04/03/14 22:00,895
04/03/14 23:00,936
04/04/14 00:00,797
04/04/14 01:00,841
04/04/14 02:00,920
04/04/14 03:00,1031
04/04/14 04:00,1190
04/04/14 05:00,1361
04/04/14 06:00,1523
04/04/14 07:00,1652
04/04/14 08:00,1772
04/04/14 09:00,1895
04/04/14 10:00,2097
04/04/14 11:00,2250
04/04/14 12:00,2400
04/04/14 13:00,2558
04/04/14 14:00,2728
04/04/14 15:00,2840
04/04/14 16:00,2873
04/04/14 17:00,2804
04/04/14 18:00,2724
04/04/14 19:00,2617
04/04/14 20:00,2487
04/04/14 21:00,2338
04/04/14 22:00,2204
04/04/14 23:00,2032
04/05/14 00:00,1634
04/05/14 01:00,1414
04/05/14 02:00,1249
04/05/14 03:00,1123
04/05/14 04:00,1027
04/05/14 05:00,956
04/05/14 06:00,897
04/05/14 07:00,862
04/05/14 08:00,935
04/05/14 09:00,1151
04/05/14 10:00,1597
04/05/14 11:00,2026
04/05/14 12:00,2383
04/05/14 13:00,2641
04/05/14 14:00,2808
04/05/14 15:00,2880
04/05/14 16:00,2827
04/05/14 17:00,2718
04/05/14 18:00,2520
04/05/14 19:00,2352
04/05/14 20:00,2258
04/05/14 21:00,2206
04/05/14 22:00,2351
04/05/14 23:00,2426
04/06/14 00:00,2575
04/06/14 01:00,2580
04/06/14 02:00,2459
04/06/14 03:00,2239
04/06/14 04:00,1938
04/06/14 05:00,1701
04/06/14 06:00,1504
04/06/14 07:00,1346
04/06/14 08:00,1353
04/06/14 09:00,1489
04/06/14 10:00,1751
04/06/14 11:00,2012
04/06/14 12:00,2342
04/06/14 13:00,2731
04/06/14 14:00,3032
04/06/14 15:00,3174
04/06/14 16:00,3146
04/06/14 17:00,3058
04/06/14 18:00,2925
04/06/14 19:00,2735
04/06/14 20:00,2518
04/06/14 21:00,2288
04/06/14 22:00,2032
04/06/14 23:00,1799
04/07/14 00:00,1951
04/07/14 01:00,1694
04/07/14 02:00,1435
04/07/14 03:00,1173
04/07/14 04:00,929
04/07/14 05:00,699
04/07/14 06:00,498
04/07/14 07:00,320
04/07/14 08:00,197
04/07/14 09:00,120
04/07/14 10:00,71
04/07/14 11:00,55
04/07/14 12:00,48
04/07/14 13:00,37
04/07/14 14:00,36
04/07/14 15:00,30
04/07/14 16:00,30
04/07/14 17:00,37
04/07/14 18:00,55
04/07/14 19:00,92
04/07/14 20:00,162
04/07/14 21:00,240
04/07/14 22:00,331
04/07/14 23:00,477
04/09/14 00:00,3071
04/09/14 01:00,3004
04/09/14 02:00,2949
04/09/14 03:00,2832
04/09/14 04:00,2680
04/09/14 05:00,2446
04/09/14 06:00,2130
04/09/14 07:00,1739
04/09/14 08:00,1368
04/09/14 09:00,1209
04/09/14 10:00,1196
04/09/14 11:00,1240
04/09/14 12:00,1325
04/09/14 13:00,1403
04/09/14 14:00,1496
04/09/14 15:00,1571
04/09/14 16:00,1621
04/09/14 17:00,1678
04/09/14 18:00,1758
04/09/14 19:00,1906
04/09/14 20:00,1953
04/09/14 21:00,1990
04/09/14 22:00,1982
04/09/14 23:00,1827
04/10/14 00:00,1741
04/10/14 01:00,1547
04/10/14 02:00,1360
04/10/14 03:00,1248
04/10/14 04:00,1155
04/10/14 05:00,1045
04/10/14 06:00,940
04/10/14 07:00,792
04/10/14 08:00,674
04/10/14 09:00,619
04/10/14 10:00,655
04/10/14 11:00,719
04/10/14 12:00,782
04/10/14 13:00,815
04/10/14 14:00,850
04/10/14 15:00,882
04/10/14 16:00,906
04/10/14 17:00,971
04/10/14 18:00,1051
04/10/14 19:00,1168
04/10/14 20:00,1266
04/10/14 21:00,1284
04/10/14 22:00,1281
04/10/14 23:00,1273
04/11/14 00:00,1199
04/11/14 01:00,1114
04/11/14 02:00,1074
04/11/14 03:00,1084
04/11/14 04:00,1097
04/11/14 05:00,1093
04/11/14 06:00,1025
04/11/14 07:00,979
04/11/14 08:00,959
04/11/14 09:00,966
04/11/14 10:00,1045
04/11/14 11:00,1171
04/11/14 12:00,1320
04/11/14 13:00,1466
04/11/14 14:00,1685
04/11/14 15:00,2000
04/11/14 16:00,2373
04/11/14 17:00,2721
04/11/14 18:00,2836
04/11/14 19:00,2948
04/11/14 20:00,2834
04/11/14 21:00,2638
04/11/14 22:00,2220
04/11/14 23:00,1787
04/12/14 00:00,1276
04/12/14 01:00,1072
04/12/14 02:00,905
04/12/14 03:00,805
04/12/14 04:00,762
04/12/14 05:00,707
04/12/14 06:00,657
04/12/14 07:00,551
04/12/14 08:00,453
04/12/14 09:00,355
04/12/14 10:00,287
04/12/14 11:00,255
04/12/14 12:00,225
04/12/14 13:00,216
04/12/14 14:00,228
04/12/14 15:00,253
04/12/14 16:00,306
04/12/14 17:00,328
04/12/14 18:00,357
04/12/14 19:00,397
04/12/14 20:00,476
04/12/14 21:00,563
04/12/14 22:00,742
04/12/14 23:00,952
