# Forecast file written by ForecastToConfComp.py
# time , forecast
#
12/01/13 00:00,1280
12/01/13 01:00,1258
12/01/13 02:00,1225
12/01/13 03:00,1172
12/01/13 04:00,1137
12/01/13 05:00,1225
12/01/13 06:00,1600
12/01/13 07:00,1965
12/01/13 08:00,2487
12/01/13 09:00,2953
12/01/13 10:00,3369
12/01/13 11:00,3655
12/01/13 12:00,3870
12/01/13 13:00,3983
12/01/13 14:00,4021
12/01/13 15:00,4029
12/01/13 16:00,3992
12/01/13 17:00,3948
12/01/13 18:00,3895
12/01/13 19:00,3846
12/01/13 20:00,3838
12/01/13 21:00,3881
12/01/13 22:00,3943
12/01/13 23:00,3997
12/02/13 00:00,3912
12/02/13 01:00,4026
12/02/13 02:00,3968
12/02/13 03:00,3981
12/02/13 04:00,3956
12/02/13 05:00,3881
12/02/13 06:00,3773
12/02/13 07:00,3562
12/02/13 08:00,3264
12/02/13 09:00,3386
12/02/13 10:00,3447
12/02/13 11:00,3209
12/02/13 12:00,2933
12/02/13 13:00,2745
12/02/13 14:00,2537
12/02/13 15:00,2298
12/02/13 16:00,2263
12/02/13 17:00,2164
12/02/13 18:00,1898
12/02/13 19:00,1511
12/02/13 20:00,1144
12/02/13 21:00,907
12/02/13 22:00,765
12/02/13 23:00,674
12/03/13 00:00,680
12/03/13 01:00,820
12/03/13 02:00,766
12/03/13 03:00,765
12/03/13 04:00,783
12/03/13 05:00,831
12/03/13 06:00,909
12/03/13 07:00,1013
12/03/13 08:00,1114
12/03/13 09:00,1245
12/03/13 10:00,1314
12/03/13 11:00,1402
12/03/13 12:00,1431
12/03/13 13:00,1469
12/03/13 14:00,1463
12/03/13 15:00,1411
12/03/13 16:00,1299
12/03/13 17:00,1186
12/03/13 18:00,1017
12/03/13 19:00,842
12/03/13 20:00,668
12/03/13 21:00,537
12/03/13 22:00,437
12/03/13 23:00,386
12/04/13 00:00,284
12/04/13 01:00,267
12/04/13 02:00,236
12/04/13 03:00,222
12/04/13 04:00,194
12/04/13 05:00,172
12/04/13 06:00,164
12/04/13 07:00,146
12/04/13 08:00,121
12/04/13 09:00,109
12/04/13 10:00,93
12/04/13 11:00,105
12/04/13 12:00,119
12/04/13 13:00,136
12/04/13 14:00,149
12/04/13 15:00,155
12/04/13 16:00,145
12/04/13 17:00,126
12/04/13 18:00,94
12/04/13 19:00,71
12/04/13 20:00,54
12/04/13 21:00,37
12/04/13 22:00,28
12/04/13 23:00,21
12/05/13 00:00,6
12/05/13 01:00,9
12/05/13 02:00,12
12/05/13 03:00,13
12/05/13 04:00,11
12/05/13 05:00,15
12/05/13 06:00,20
12/05/13 07:00,23
12/05/13 08:00,21
12/05/13 09:00,14
12/05/13 10:00,10
12/05/13 11:00,17
12/05/13 12:00,36
12/05/13 13:00,66
12/05/13 14:00,111
12/05/13 15:00,171
12/05/13 16:00,236
12/05/13 17:00,281
12/05/13 18:00,323
12/05/13 19:00,354
12/05/13 20:00,381
12/05/13 21:00,374
12/05/13 22:00,353
12/05/13 23:00,338
12/06/13 00:00,233
12/06/13 01:00,225
12/06/13 02:00,212
12/06/13 03:00,210
12/06/13 04:00,224
12/06/13 05:00,221
12/06/13 06:00,263
12/06/13 07:00,305
12/06/13 08:00,352
12/06/13 09:00,457
12/06/13 10:00,611
12/06/13 11:00,919
12/06/13 12:00,1244
12/06/13 13:00,1561
12/06/13 14:00,1832
12/06/13 15:00,2031
12/06/13 16:00,2208
12/06/13 17:00,2371
12/06/13 18:00,2551
12/06/13 19:00,2666
12/06/13 20:00,2670
12/06/13 21:00,2579
12/06/13 22:00,2477
12/06/13 23:00,2339
12/07/13 00:00,2870
12/07/13 01:00,2646
12/07/13 02:00,2435
12/07/13 03:00,2212
12/07/13 04:00,1991
12/07/13 05:00,1657
12/07/13 06:00,1343
12/07/13 07:00,1046
12/07/13 08:00,803
12/07/13 09:00,607
12/07/13 10:00,438
12/07/13 11:00,329
12/07/13 12:00,256
12/07/13 13:00,199
12/07/13 14:00,169
12/07/13 15:00,155
12/07/13 16:00,169
12/07/13 17:00,206
12/07/13 18:00,256
12/07/13 19:00,283
12/07/13 20:00,298
12/07/13 21:00,309
12/07/13 22:00,309
12/07/13 23:00,316
12/08/13 00:00,309
12/08/13 01:00,299
12/08/13 02:00,292
12/08/13 03:00,288
12/08/13 04:00,275
12/08/13 05:00,276
12/08/13 06:00,292
12/08/13 07:00,301
12/08/13 08:00,282
12/08/13 09:00,248
12/08/13 10:00,190
12/08/13 11:00,139
12/08/13 12:00,99
12/08/13 13:00,68
12/08/13 14:00,45
12/08/13 15:00,37
12/08/13 16:00,38
12/08/13 17:00,41
12/08/13 18:00,38
12/08/13 19:00,42
12/08/13 20:00,56
12/08/13 21:00,76
12/08/13 22:00,107
12/08/13 23:00,171
12/10/13 00:00,1667
12/10/13 01:00,1667
12/10/13 02:00,1693
12/10/13 03:00,1619
12/10/13 04:00,1587
12/10/13 05:00,1416
12/10/13 06:00,1252
12/10/13 07:00,1095
12/10/13 08:00,902
12/10/13 09:00,711
12/10/13 10:00,593
12/10/13 11:00,514
12/10/13 12:00,436
12/10/13 13:00,402
12/10/13 14:00,356
12/10/13 15:00,306
12/10/13 16:00,282
12/10/13 17:00,246
12/10/13 18:00,199
12/10/13 19:00,149
12/10/13 20:00,120
12/10/13 21:00,95
12/10/13 22:00,84
12/10/13 23:00,72
12/11/13 00:00,4
12/11/13 01:00,7
12/11/13 02:00,12
12/11/13 03:00,18
12/11/13 04:00,19
12/11/13 05:00,20
12/11/13 06:00,31
12/11/13 07:00,38
12/11/13 08:00,47
12/11/13 09:00,45
12/11/13 10:00,54
12/11/13 11:00,48
12/11/13 12:00,48
12/11/13 13:00,50
12/11/13 14:00,64
12/11/13 15:00,77
12/11/13 16:00,78
12/11/13 17:00,84
12/11/13 18:00,84
12/11/13 19:00,75
12/11/13 20:00,68
12/11/13 21:00,67
12/11/13 22:00,69
12/11/13 23:00,62
12/12/13 00:00,9
12/12/13 01:00,9
12/12/13 02:00,8
12/12/13 03:00,10
12/12/13 04:00,11
12/12/13 05:00,20
12/12/13 06:00,33
12/12/13 07:00,51
12/12/13 08:00,58
12/12/13 09:00,60
12/12/13 10:00,56
12/12/13 11:00,39
12/12/13 12:00,31
12/12/13 13:00,31
12/12/13 14:00,39
12/12/13 15:00,62
12/12/13 16:00,88
12/12/13 17:00,116
12/12/13 18:00,147
12/12/13 19:00,191
12/12/13 20:00,247
12/12/13 21:00,322
12/12/13 22:00,410
