# Forecast file written by ForecastToConfComp.py
# time , forecast
#
12/01/13 11:00,3520
12/01/13 12:00,3519
12/01/13 13:00,3600
12/01/13 14:00,3684
12/01/13 15:00,3712
12/01/13 16:00,3744
12/01/13 17:00,3705
12/01/13 18:00,3710
12/01/13 19:00,3732
12/01/13 20:00,3747
12/01/13 21:00,3779
12/01/13 22:00,3556
12/01/13 23:00,3306
12/02/13 11:00,3026
12/02/13 12:00,3376
12/02/13 13:00,3478
12/02/13 14:00,3355
12/02/13 15:00,3032
12/02/13 16:00,3143
12/02/13 17:00,3050
12/02/13 18:00,2598
12/02/13 19:00,2090
12/02/13 20:00,1509
12/02/13 21:00,1135
12/02/13 22:00,792
12/02/13 23:00,524
12/03/13 11:00,1019
12/03/13 12:00,1192
12/03/13 13:00,1316
12/03/13 14:00,1358
12/03/13 15:00,1295
12/03/13 16:00,1197
12/03/13 17:00,1027
12/03/13 18:00,845
12/03/13 19:00,664
12/03/13 20:00,504
12/03/13 21:00,438
12/03/13 22:00,405
12/03/13 23:00,391
12/04/13 11:00,118
12/04/13 12:00,124
12/04/13 13:00,137
12/04/13 14:00,144
12/04/13 15:00,144
12/04/13 16:00,139
12/04/13 17:00,114
12/04/13 18:00,91
12/04/13 19:00,66
12/04/13 20:00,45
12/04/13 21:00,34
12/04/13 22:00,32
12/04/13 23:00,26
12/05/13 11:00,19
12/05/13 12:00,40
12/05/13 13:00,85
12/05/13 14:00,129
12/05/13 15:00,174
12/05/13 16:00,243
12/05/13 17:00,262
12/05/13 18:00,288
12/05/13 19:00,309
12/05/13 20:00,316
12/05/13 21:00,317
12/05/13 22:00,317
12/05/13 23:00,307
12/07/13 11:00,171
12/07/13 12:00,139
12/07/13 13:00,120
12/07/13 14:00,110
12/07/13 15:00,97
12/07/13 16:00,114
12/07/13 17:00,146
12/07/13 18:00,178
12/07/13 19:00,237
12/07/13 20:00,282
12/07/13 21:00,303
12/07/13 22:00,297
12/07/13 23:00,285
12/08/13 11:00,102
12/08/13 12:00,84
12/08/13 13:00,64
12/08/13 14:00,56
12/08/13 15:00,59
12/08/13 16:00,67
12/08/13 17:00,53
12/08/13 18:00,45
12/08/13 19:00,44
12/08/13 20:00,69
12/08/13 21:00,109
12/08/13 22:00,160
12/08/13 23:00,213
12/09/13 11:00,774
12/09/13 12:00,710
12/09/13 13:00,711
12/09/13 14:00,683
12/09/13 15:00,671
12/09/13 16:00,692
12/09/13 17:00,726
12/09/13 18:00,740
12/09/13 19:00,780
12/09/13 20:00,851
12/09/13 21:00,1072
12/09/13 22:00,1164
12/09/13 23:00,1287
12/10/13 11:00,702
12/10/13 12:00,605
12/10/13 13:00,488
12/10/13 14:00,410
12/10/13 15:00,349
12/10/13 16:00,278
12/10/13 17:00,190
12/10/13 18:00,139
12/10/13 19:00,123
12/10/13 20:00,110
12/10/13 21:00,101
12/10/13 22:00,86
12/10/13 23:00,65
12/11/13 11:00,13
12/11/13 12:00,24
12/11/13 13:00,33
12/11/13 14:00,37
12/11/13 15:00,32
12/11/13 16:00,41
12/11/13 17:00,50
12/11/13 18:00,56
12/11/13 19:00,58
12/11/13 20:00,54
12/11/13 21:00,57
12/11/13 22:00,52
12/11/13 23:00,50
12/12/13 11:00,116
12/12/13 12:00,107
12/12/13 13:00,98
12/12/13 14:00,97
12/12/13 15:00,126
12/12/13 16:00,148
12/12/13 17:00,134
12/12/13 18:00,184
12/12/13 19:00,234
12/12/13 20:00,282
12/12/13 21:00,369
12/12/13 22:00,484
12/12/13 23:00,556
12/13/13 11:00,1454
12/13/13 12:00,1428
12/13/13 13:00,1333
12/13/13 14:00,1308
12/13/13 15:00,1298
12/13/13 16:00,1343
12/13/13 17:00,1253
12/13/13 18:00,1131
12/13/13 19:00,1078
12/13/13 20:00,942
12/13/13 21:00,819
12/13/13 22:00,724
12/13/13 23:00,653
12/14/13 11:00,359
12/14/13 12:00,405
12/14/13 13:00,466
12/14/13 14:00,598
12/14/13 15:00,774
12/14/13 16:00,1052
12/14/13 17:00,1166
12/14/13 18:00,1394
12/14/13 19:00,1636
12/14/13 20:00,1761
12/14/13 21:00,1918
12/14/13 22:00,2015
12/14/13 23:00,2045
12/15/13 11:00,2957
12/15/13 12:00,2930
12/15/13 13:00,2986
12/15/13 14:00,3048
12/15/13 15:00,3237
12/15/13 16:00,3291
12/15/13 17:00,3242
12/15/13 18:00,3190
12/15/13 19:00,3138
12/15/13 20:00,2996
12/15/13 21:00,2838
12/15/13 22:00,2692
12/15/13 23:00,2545
12/16/13 11:00,479
12/16/13 12:00,433
12/16/13 13:00,375
12/16/13 14:00,296
12/16/13 15:00,225
12/16/13 16:00,203
12/16/13 17:00,171
12/16/13 18:00,143
12/16/13 19:00,137
12/16/13 20:00,121
12/16/13 21:00,130
12/16/13 22:00,130
12/16/13 23:00,153
12/17/13 11:00,465
12/17/13 12:00,538
12/17/13 13:00,659
12/17/13 14:00,792
12/17/13 15:00,960
12/17/13 16:00,1259
12/17/13 17:00,1455
12/17/13 18:00,1648
12/17/13 19:00,1944
12/17/13 20:00,2178
12/17/13 21:00,2368
12/17/13 22:00,2517
12/17/13 23:00,2589
12/18/13 11:00,2356
12/18/13 12:00,2263
12/18/13 13:00,2170
12/18/13 14:00,2121
12/18/13 15:00,2180
12/18/13 16:00,2276
12/18/13 17:00,2315
12/18/13 18:00,2304
12/18/13 19:00,2182
12/18/13 20:00,1947
12/18/13 21:00,1658
12/18/13 22:00,1400
12/18/13 23:00,1054
12/19/13 11:00,175
12/19/13 12:00,144
12/19/13 13:00,150
12/19/13 14:00,169
12/19/13 15:00,185
12/19/13 16:00,250
12/19/13 17:00,290
12/19/13 18:00,316
12/19/13 19:00,344
12/19/13 20:00,349
12/19/13 21:00,384
12/19/13 22:00,436
12/19/13 23:00,523
12/20/13 11:00,2109
12/20/13 12:00,2023
12/20/13 13:00,2224
12/20/13 14:00,2555
12/20/13 15:00,2979
12/20/13 16:00,3390
12/20/13 17:00,3757
12/20/13 18:00,3919
12/20/13 19:00,3990
12/20/13 20:00,4041
12/20/13 21:00,4063
12/20/13 22:00,3977
12/20/13 23:00,3783
12/21/13 11:00,987
12/21/13 12:00,1254
12/21/13 13:00,1473
12/21/13 14:00,1657
12/21/13 15:00,1843
12/21/13 16:00,2101
12/21/13 17:00,2291
12/21/13 18:00,2405
12/21/13 19:00,2473
12/21/13 20:00,2431
12/21/13 21:00,2410
12/21/13 22:00,2371
12/21/13 23:00,2334
12/22/13 11:00,1285
12/22/13 12:00,1401
12/22/13 13:00,1538
12/22/13 14:00,1677
12/22/13 15:00,1713
12/22/13 16:00,1721
12/22/13 17:00,1747
12/22/13 18:00,1704
12/22/13 19:00,1664
12/22/13 20:00,1667
12/22/13 21:00,1680
12/22/13 22:00,1652
12/22/13 23:00,1675
12/23/13 11:00,2659
12/23/13 12:00,2827
12/23/13 13:00,3043
12/23/13 14:00,3327
12/23/13 15:00,3662
12/23/13 16:00,3929
12/23/13 17:00,3951
12/23/13 18:00,3838
12/23/13 19:00,3623
12/23/13 20:00,3307
12/23/13 21:00,2963
12/23/13 22:00,2821
12/23/13 23:00,2702
12/24/13 11:00,653
12/24/13 12:00,557
12/24/13 13:00,479
12/24/13 14:00,358
12/24/13 15:00,264
12/24/13 16:00,218
12/24/13 17:00,176
12/24/13 18:00,145
12/24/13 19:00,111
12/24/13 20:00,86
12/24/13 21:00,82
12/24/13 22:00,79
12/24/13 23:00,88
12/25/13 11:00,7
12/25/13 12:00,6
12/25/13 13:00,7
12/25/13 14:00,8
12/25/13 15:00,12
12/25/13 16:00,16
12/25/13 17:00,22
12/25/13 18:00,33
12/25/13 19:00,46
12/25/13 20:00,50
12/25/13 21:00,52
12/25/13 22:00,50
12/25/13 23:00,52
12/26/13 11:00,4
12/26/13 12:00,5
12/26/13 13:00,11
12/26/13 14:00,14
12/26/13 15:00,23
12/26/13 16:00,31
12/26/13 17:00,36
12/26/13 18:00,39
12/26/13 19:00,38
12/26/13 20:00,33
12/26/13 21:00,31
12/26/13 22:00,30
12/26/13 23:00,31
12/27/13 11:00,103
12/27/13 12:00,154
12/27/13 13:00,257
12/27/13 14:00,451
12/27/13 15:00,788
12/27/13 16:00,1207
12/27/13 17:00,1563
12/27/13 18:00,2090
12/27/13 19:00,2570
12/27/13 20:00,2649
12/27/13 21:00,2557
12/27/13 22:00,2366
12/27/13 23:00,2157
12/28/13 11:00,81
12/28/13 12:00,66
12/28/13 13:00,56
12/28/13 14:00,49
12/28/13 15:00,47
12/28/13 16:00,46
12/28/13 17:00,37
12/28/13 18:00,28
12/28/13 19:00,28
12/28/13 20:00,29
12/28/13 21:00,31
12/28/13 22:00,36
12/28/13 23:00,44
12/29/13 11:00,319
12/29/13 12:00,286
12/29/13 13:00,301
12/29/13 14:00,380
12/29/13 15:00,510
12/29/13 16:00,658
12/29/13 17:00,664
12/29/13 18:00,588
12/29/13 19:00,466
12/29/13 20:00,326
12/29/13 21:00,227
12/29/13 22:00,169
12/29/13 23:00,123
12/30/13 11:00,24
12/30/13 12:00,42
12/30/13 13:00,59
12/30/13 14:00,89
12/30/13 15:00,153
12/30/13 16:00,240
12/30/13 17:00,307
12/30/13 18:00,422
12/30/13 19:00,599
12/30/13 20:00,749
12/30/13 21:00,884
12/30/13 22:00,1051
12/30/13 23:00,1185
12/31/13 11:00,1969
12/31/13 12:00,1940
12/31/13 13:00,1864
12/31/13 14:00,1872
12/31/13 15:00,1852
12/31/13 16:00,1847
12/31/13 17:00,1860
12/31/13 18:00,1660
12/31/13 19:00,1349
12/31/13 20:00,1031
12/31/13 21:00,828
12/31/13 22:00,670
12/31/13 23:00,533
11/01/13 11:00,252
11/01/13 12:00,182
11/01/13 13:00,125
11/01/13 14:00,83
11/01/13 15:00,62
11/01/13 16:00,47
11/01/13 17:00,39
11/01/13 18:00,35
11/01/13 19:00,56
11/01/13 20:00,90
11/01/13 21:00,119
11/01/13 22:00,108
11/01/13 23:00,96
11/03/13 11:00,3607
11/03/13 12:00,3619
11/03/13 13:00,3633
11/03/13 14:00,3580
11/03/13 15:00,3452
11/03/13 16:00,3290
11/03/13 17:00,3159
11/03/13 18:00,3042
11/03/13 19:00,2893
11/03/13 20:00,2770
11/03/13 21:00,2666
11/03/13 22:00,2514
11/03/13 23:00,2343
