# Forecast file written by ForecastToConfComp.py
# time , forecast
#
04/01/14 00:00,485
04/01/14 01:00,451
04/01/14 02:00,398
04/01/14 03:00,379
04/01/14 04:00,375
04/01/14 05:00,393
04/01/14 06:00,553
04/01/14 07:00,699
04/01/14 08:00,734
04/01/14 09:00,654
04/01/14 10:00,603
04/01/14 11:00,648
04/01/14 12:00,718
04/01/14 13:00,912
04/01/14 14:00,1063
04/01/14 15:00,1277
04/01/14 16:00,1459
04/01/14 17:00,1566
04/01/14 18:00,1731
04/01/14 19:00,1901
04/01/14 20:00,2104
04/01/14 21:00,2111
04/01/14 22:00,2129
04/01/14 23:00,2079
04/02/14 00:00,2543
04/02/14 01:00,2436
04/02/14 02:00,2292
04/02/14 03:00,2187
04/02/14 04:00,2090
04/02/14 05:00,2002
04/02/14 06:00,1919
04/02/14 07:00,1869
04/02/14 08:00,1810
04/02/14 09:00,1783
04/02/14 10:00,1900
04/02/14 11:00,1989
04/02/14 12:00,2067
04/02/14 13:00,2156
04/02/14 14:00,2281
04/02/14 15:00,2447
04/02/14 16:00,2627
04/02/14 17:00,2743
04/02/14 18:00,2813
04/02/14 19:00,2828
04/02/14 20:00,2701
04/02/14 21:00,2520
04/02/14 22:00,2179
04/02/14 23:00,1830
04/03/14 00:00,1968
04/03/14 01:00,1557
04/03/14 02:00,1220
04/03/14 03:00,963
04/03/14 04:00,790
04/03/14 05:00,706
04/03/14 06:00,552
04/03/14 07:00,422
04/03/14 08:00,307
04/03/14 09:00,251
04/03/14 10:00,197
04/03/14 11:00,179
04/03/14 12:00,181
04/03/14 13:00,186
04/03/14 14:00,225
04/03/14 15:00,324
04/03/14 16:00,484
04/03/14 17:00,639
04/03/14 18:00,787
04/03/14 19:00,882
04/03/14 20:00,952
04/03/14 21:00,956
04/03/14 22:00,996
04/03/14 23:00,1017
04/04/14 00:00,1133
04/04/14 01:00,1074
04/04/14 02:00,1110
04/04/14 03:00,1079
04/04/14 04:00,1151
04/04/14 05:00,1243
04/04/14 06:00,1366
04/04/14 07:00,1519
04/04/14 08:00,1511
04/04/14 09:00,1490
04/04/14 10:00,1659
04/04/14 11:00,1827
04/04/14 12:00,2020
04/04/14 13:00,2119
04/04/14 14:00,2290
04/04/14 15:00,2438
04/04/14 16:00,2550
04/04/14 17:00,2577
04/04/14 18:00,2527
04/04/14 19:00,2390
04/04/14 20:00,2246
04/04/14 21:00,2129
04/04/14 22:00,2083
04/04/14 23:00,1952
04/05/14 00:00,1641
04/05/14 01:00,1432
04/05/14 02:00,1250
