# Forecast file written by ForecastToConfComp.py
# time , forecast
#
04/01/14 12:00,676
04/01/14 13:00,644
04/01/14 14:00,658
04/01/14 15:00,794
04/01/14 16:00,1025
04/01/14 17:00,1304
04/01/14 18:00,1538
04/01/14 19:00,1729
04/01/14 20:00,1920
04/01/14 21:00,1979
04/01/14 22:00,1926
04/01/14 23:00,1890
04/02/14 00:00,1850
04/02/14 12:00,2129
04/02/14 13:00,2238
04/02/14 14:00,2322
04/02/14 15:00,2502
04/02/14 16:00,2668
04/02/14 17:00,2809
04/02/14 18:00,2853
04/02/14 19:00,2859
04/02/14 20:00,2785
04/02/14 21:00,2541
04/02/14 22:00,2206
04/02/14 23:00,1800
04/03/14 00:00,1465
04/03/14 12:00,265
04/03/14 13:00,282
04/03/14 14:00,333
04/03/14 15:00,439
04/03/14 16:00,629
04/03/14 17:00,891
04/03/14 18:00,1118
04/03/14 19:00,1201
04/03/14 20:00,1209
04/03/14 21:00,1090
04/03/14 22:00,890
04/03/14 23:00,792
04/04/14 00:00,797
04/04/14 12:00,2038
04/04/14 13:00,2174
04/04/14 14:00,2337
04/04/14 15:00,2458
04/04/14 16:00,2544
04/04/14 17:00,2590
04/04/14 18:00,2518
04/04/14 19:00,2465
04/04/14 20:00,2407
04/04/14 21:00,2249
04/04/14 22:00,2076
04/04/14 23:00,1868
04/05/14 00:00,1634
04/05/14 12:00,1716
04/05/14 13:00,2237
04/05/14 14:00,2569
04/05/14 15:00,2704
04/05/14 16:00,2683
04/05/14 17:00,2515
04/05/14 18:00,2304
04/05/14 19:00,2208
04/05/14 20:00,2145
04/05/14 21:00,2232
04/05/14 22:00,2408
04/05/14 23:00,2533
04/06/14 00:00,2575
04/06/14 12:00,2897
04/06/14 13:00,3287
04/06/14 14:00,3540
04/06/14 15:00,3587
04/06/14 16:00,3570
04/06/14 17:00,3492
04/06/14 18:00,3378
04/06/14 19:00,3242
04/06/14 20:00,3057
04/06/14 21:00,2812
04/06/14 22:00,2482
04/06/14 23:00,2199
04/07/14 00:00,1951
04/08/14 12:00,1340
04/08/14 13:00,1454
04/08/14 14:00,1592
04/08/14 15:00,1802
04/08/14 16:00,2052
04/08/14 17:00,2380
04/08/14 18:00,2707
04/08/14 19:00,3017
04/08/14 20:00,3209
04/08/14 21:00,3225
04/08/14 22:00,3187
04/08/14 23:00,3126
04/09/14 00:00,3071
04/09/14 12:00,1085
04/09/14 13:00,1201
04/09/14 14:00,1355
04/09/14 15:00,1496
04/09/14 16:00,1686
04/09/14 17:00,1830
04/09/14 18:00,2001
04/09/14 19:00,2147
04/09/14 20:00,2238
04/09/14 21:00,2194
04/09/14 22:00,2088
04/09/14 23:00,1939
04/10/14 00:00,1741
04/10/14 12:00,312
04/10/14 13:00,339
04/10/14 14:00,356
04/10/14 15:00,371
04/10/14 16:00,470
04/10/14 17:00,603
04/10/14 18:00,762
04/10/14 19:00,941
04/10/14 20:00,1173
04/10/14 21:00,1268
04/10/14 22:00,1270
04/10/14 23:00,1253
04/11/14 00:00,1199
04/11/14 12:00,1310
04/11/14 13:00,1522
04/11/14 14:00,1797
04/11/14 15:00,2182
04/11/14 16:00,2632
04/11/14 17:00,3036
04/11/14 18:00,3110
04/11/14 19:00,2961
04/11/14 20:00,2704
04/11/14 21:00,2358
04/11/14 22:00,1914
04/11/14 23:00,1563
04/12/14 00:00,1276
04/12/14 12:00,225
04/12/14 13:00,215
04/12/14 14:00,225
04/12/14 15:00,262
04/12/14 16:00,308
04/12/14 17:00,365
04/12/14 18:00,379
04/12/14 19:00,425
04/12/14 20:00,470
04/12/14 21:00,601
04/12/14 22:00,757
04/12/14 23:00,934
04/13/14 00:00,1035
04/13/14 12:00,590
04/13/14 13:00,669
04/13/14 14:00,748
04/13/14 15:00,694
04/13/14 16:00,649
04/13/14 17:00,628
04/13/14 18:00,582
04/13/14 19:00,540
04/13/14 20:00,542
04/13/14 21:00,493
04/13/14 22:00,430
04/13/14 23:00,373
04/14/14 00:00,335
04/15/14 12:00,3708
04/15/14 13:00,3755
04/15/14 14:00,3748
04/15/14 15:00,3721
04/15/14 16:00,3769
04/15/14 17:00,3794
04/15/14 18:00,3647
04/15/14 19:00,3429
04/15/14 20:00,3112
04/15/14 21:00,2850
04/15/14 22:00,2631
04/15/14 23:00,2423
04/16/14 00:00,2296
04/16/14 12:00,1584
04/16/14 13:00,1640
04/16/14 14:00,1706
04/16/14 15:00,1738
04/16/14 16:00,1839
04/16/14 17:00,1900
04/16/14 18:00,1774
04/16/14 19:00,1529
04/16/14 20:00,1315
04/16/14 21:00,1211
04/16/14 22:00,1123
04/16/14 23:00,1047
04/17/14 00:00,967
04/17/14 12:00,367
04/17/14 13:00,486
04/17/14 14:00,758
04/17/14 15:00,1291
04/17/14 16:00,1751
04/17/14 17:00,2076
04/17/14 18:00,2154
04/17/14 19:00,2139
04/17/14 20:00,2269
04/17/14 21:00,2467
04/17/14 22:00,2660
04/17/14 23:00,2882
04/18/14 00:00,3235
04/18/14 12:00,2980
04/18/14 13:00,2777
04/18/14 14:00,2580
04/18/14 15:00,2185
04/18/14 16:00,1721
04/18/14 17:00,1295
04/18/14 18:00,905
04/18/14 19:00,579
04/18/14 20:00,333
