# Forecast file written by ForecastToConfComp.py
# time , forecast
#
01/02/13 00:00,100
01/02/13 01:00,106
01/02/13 02:00,107
01/02/13 03:00,107
01/02/13 04:00,107
01/02/13 05:00,107
01/02/13 06:00,107
01/02/13 07:00,101
01/02/13 08:00,88
01/02/13 09:00,70
01/02/13 10:00,62
01/02/13 11:00,64
01/02/13 12:00,79
01/02/13 13:00,99
01/02/13 14:00,125
01/02/13 15:00,154
01/02/13 16:00,166
01/02/13 17:00,162
01/02/13 18:00,143
01/02/13 19:00,128
01/02/13 20:00,115
01/02/13 21:00,101
01/02/13 22:00,91
01/02/13 23:00,84
01/03/13 00:00,83
01/03/13 01:00,73
01/03/13 02:00,63
01/03/13 03:00,53
01/03/13 04:00,46
01/03/13 05:00,39
01/03/13 06:00,34
01/03/13 07:00,30
01/03/13 08:00,26
01/03/13 09:00,22
01/03/13 10:00,21
01/03/13 11:00,25
01/03/13 12:00,34
01/03/13 13:00,42
01/03/13 14:00,49
01/03/13 15:00,56
01/03/13 16:00,66
01/03/13 17:00,79
01/03/13 18:00,97
01/03/13 19:00,107
01/03/13 20:00,108
01/03/13 21:00,99
01/03/13 22:00,86
01/03/13 23:00,72
01/04/13 00:00,42
01/04/13 01:00,51
01/04/13 02:00,61
01/04/13 03:00,68
01/04/13 04:00,76
01/04/13 05:00,84
01/04/13 06:00,92
01/04/13 07:00,94
01/04/13 08:00,90
01/04/13 09:00,80
01/04/13 10:00,66
01/04/13 11:00,52
01/04/13 12:00,38
01/04/13 13:00,33
01/04/13 14:00,43
01/04/13 15:00,79
01/04/13 16:00,126
01/04/13 17:00,179
01/04/13 18:00,227
01/04/13 19:00,250
01/04/13 20:00,241
01/04/13 21:00,208
01/04/13 22:00,180
01/04/13 23:00,160
01/05/13 00:00,128
01/05/13 01:00,108
01/05/13 02:00,95
01/05/13 03:00,83
01/05/13 04:00,75
01/05/13 05:00,70
01/05/13 06:00,69
01/05/13 07:00,62
01/05/13 08:00,51
01/05/13 09:00,36
01/05/13 10:00,28
01/05/13 11:00,25
01/05/13 12:00,26
01/05/13 13:00,27
01/05/13 14:00,28
01/05/13 15:00,28
01/05/13 16:00,25
01/05/13 17:00,19
01/05/13 18:00,12
01/05/13 19:00,9
01/05/13 20:00,10
01/05/13 21:00,16
01/05/13 22:00,25
01/05/13 23:00,39
01/06/13 00:00,107
01/06/13 01:00,162
01/06/13 02:00,221
01/06/13 03:00,290
01/06/13 04:00,354
01/06/13 05:00,413
01/06/13 06:00,460
01/06/13 07:00,485
01/06/13 08:00,482
01/06/13 09:00,451
01/06/13 10:00,438
01/06/13 11:00,451
01/06/13 12:00,485
01/06/13 13:00,510
01/06/13 14:00,523
01/06/13 15:00,529
01/06/13 16:00,559
01/06/13 17:00,611
01/06/13 18:00,684
01/06/13 19:00,741
01/06/13 20:00,784
01/06/13 21:00,815
01/06/13 22:00,836
01/06/13 23:00,854
01/07/13 00:00,661
01/07/13 01:00,662
01/07/13 02:00,696
01/07/13 03:00,759
01/07/13 04:00,881
01/07/13 05:00,1067
01/07/13 06:00,1309
01/07/13 07:00,1560
01/07/13 08:00,1823
01/07/13 09:00,2091
01/07/13 10:00,2356
01/07/13 11:00,2610
01/07/13 12:00,2875
01/07/13 13:00,3131
01/07/13 14:00,3356
01/07/13 15:00,3541
01/07/13 16:00,3629
01/07/13 17:00,3636
01/07/13 18:00,3536
01/07/13 19:00,3433
01/07/13 20:00,3323
01/07/13 21:00,3211
01/07/13 22:00,3086
01/07/13 23:00,2930
01/08/13 00:00,2761
01/08/13 01:00,2496
01/08/13 02:00,2119
01/08/13 03:00,1714
01/08/13 04:00,1386
01/08/13 05:00,1185
01/08/13 06:00,1092
01/08/13 07:00,1146
01/08/13 08:00,1336
01/08/13 09:00,1623
01/08/13 10:00,1912
01/08/13 11:00,2175
01/08/13 12:00,2417
01/08/13 13:00,2575
01/08/13 14:00,2643
01/08/13 15:00,2655
01/08/13 16:00,2676
01/08/13 17:00,2696
01/08/13 18:00,2685
01/08/13 19:00,2606
01/08/13 20:00,2486
01/08/13 21:00,2332
01/08/13 22:00,2157
01/08/13 23:00,1950
01/09/13 00:00,1696
01/09/13 01:00,1580
01/09/13 02:00,1511
01/09/13 03:00,1437
01/09/13 04:00,1426
01/09/13 05:00,1528
01/09/13 06:00,1776
01/09/13 07:00,2105
01/09/13 08:00,2448
01/09/13 09:00,2756
01/09/13 10:00,2923
01/09/13 11:00,3028
01/09/13 12:00,3130
01/09/13 13:00,3281
01/09/13 14:00,3357
01/09/13 15:00,3328
01/09/13 16:00,3221
01/09/13 17:00,3066
01/09/13 18:00,2886
01/09/13 19:00,2750
01/09/13 20:00,2697
01/09/13 21:00,2703
01/09/13 22:00,2666
01/09/13 23:00,2603
01/10/13 00:00,2652
01/10/13 01:00,2561
01/10/13 02:00,2488
01/10/13 03:00,2397
01/10/13 04:00,2294
01/10/13 05:00,2187
01/10/13 06:00,2110
01/10/13 07:00,2047
01/10/13 08:00,2006
01/10/13 09:00,1956
01/10/13 10:00,1846
01/10/13 11:00,1676
01/10/13 12:00,1472
01/10/13 13:00,1312
01/10/13 14:00,1190
01/10/13 15:00,1110
01/10/13 16:00,1092
01/10/13 17:00,1126
01/10/13 18:00,1205
01/10/13 19:00,1243
01/10/13 20:00,1256
01/10/13 21:00,1244
01/10/13 22:00,1216
01/10/13 23:00,1147
01/11/13 00:00,1142
01/11/13 01:00,930
01/11/13 02:00,762
01/11/13 03:00,632
01/11/13 04:00,517
01/11/13 05:00,416
01/11/13 06:00,326
01/11/13 07:00,249
01/11/13 08:00,187
01/11/13 09:00,137
01/11/13 10:00,106
01/11/13 11:00,91
01/11/13 12:00,89
01/11/13 13:00,87
01/11/13 14:00,83
01/11/13 15:00,81
01/11/13 16:00,82
01/11/13 17:00,78
01/11/13 18:00,69
01/11/13 19:00,65
01/11/13 20:00,70
01/11/13 21:00,85
01/11/13 22:00,108
01/11/13 23:00,143
01/12/13 00:00,112
01/12/13 01:00,133
01/12/13 02:00,153
01/12/13 03:00,174
01/12/13 04:00,190
